TEI,field-name,Req't?,Rep?,Entry 1,Entry 2,Entry 3,Entry 4,Entry 5,Entry 6,Entry 7,Entry 8,Entry 9,Entry 10,Entry 11,Entry 12,Entry 13,Entry 14,Entry 15,Entry 16,Entry 17,Entry 18,Entry 19,Entry 20
,ADMINISTRATIVE INFORMATION,,,,,,,,,,,,,,,,,,,,,,
[not mapped],Administrative Contact,Y,N,,,,,,,,,,,,,,,,,,,,
[not mapped],Administrative Contact Email,Y,N,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,METADATA FOR PUBLICATION,,,,,,,,,,,,,,,,,,,,,,
titleStmt/respStmt/persName,Metadata Creator,Y,N,,,,,,,,,,,,,,,,,,,,
[not mapped],Metadata Creator Email,Y,N,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,IDENTIFIERS,,,,,,,,,,,,,,,,,,,,,,
msIdentifier/country,Repository Country,N,N,,,,,,,,,,,,,,,,,,,,
msIdentifier/settlement,Repository City,Y,N,,,,,,,,,,,,,,,,,,,,
msIdentifier/institution,Holding Institution,N,N,,,,,,,,,,,,,,,,,,,,
msIdentifier/repository,Repository Name,Y,N,,,,,,,,,,,,,,,,,,,,
msIdentifier/collection,Source collection,N,N,,,,,,,,,,,,,,,,,,,,
msIdentifier/idno/@type='call-number',Call Number/ID,Y,N,,,,,,,,,,,,,,,,,,,,
msIdentifier/altIdentifier[@type='resource']/idno,Record URL,N,N,,,,,,,,,,,,,,,,,,,,
msIdentifier/altIdentifier[@type='']/idno,Alternate ID,N,N,,,,,,,,,,,,,,,,,,,,
msIdentifier/altIdentifier/@type,Alternate ID type,C,N,,,,,,,,,,,,,,,,,,,,
titleStmt/title and first msItem,Manuscript Name,Y,N,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,AGENTS,,,,,,,,,,,,,,,,,,,,,,
msContents/msItem/author,Author name,N,Y,,,,,,,,,,,,,,,,,,,,
msContents/msItem/author/@ref,Author URI,N,Y,,,,,,,,,,,,,,,,,,,,
msItem/respStmt/resp[translator]|persName,Translator name,N,Y,,,,,,,,,,,,,,,,,,,,
msItem/respStmt/resp[translator]|persName/@ref,Translator URI,N,Y,,,,,,,,,,,,,,,,,,,,
msItem/respStmt/resp[artist]|persName,Artist name,N,Y,,,,,,,,,,,,,,,,,,,,
msItem/respStmt/resp[artist]|persName/@ref,Artist URI,N,Y,,,,,,,,,,,,,,,,,,,,
msItem/respStmt/resp[former owner]|persName,Former Owner name,N,Y,,,,,,,,,,,,,,,,,,,,
msItem/respStmt/resp[former owner]|persName/@ref,Former Owner URI,N,Y,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,HISTORY,,,,,,,,,,,,,,,,,,,,,,
msDesc/history/provenance,Provenance details,N,N,,,,,,,,,,,,,,,,,,,,
history/origin/origDate/@when,Date (single),N,Y,,,,,,,,,,,,,,,,,,,,
history/origin/origDate/@from,Date (range) start,N,Y,,,,,,,,,,,,,,,,,,,,
history/origin/origDate/@to,Date (range) end,N,Y,,,,,,,,,,,,,,,,,,,,
history/origin/origDate,Date (narrative),N,N,,,,,,,,,,,,,,,,,,,,
msDesc/history/originPlace,Place of origin,Y,Y,,,,,,,,,,,,,,,,,,,,
msDesc/history/origin/p,Origin details,N,N,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,,,,,,,,,,,,,,,,,,
msContents/summary,Description,N,N,,,,,,,,,,,,,,,,,,,,
msContents/textLang,Language,Y,Y,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,ANALYTIC DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,
supportDesc/foliation,Foliation / Pagination,N,N,,,,,,,,,,,,,,,,,,,,
msDescription/supportDesc/extent,Flyleaves & Leaves,N,N,,,,,,,,,,,,,,,,,,,,
objectDesc/layoutDesc/layout,Layout,N,N,,,,,,,,,,,,,,,,,,,,
msContents/msItem/colophon,Colophon,N,N,,,,,,,,,,,,,,,,,,,,
supportDesc/collation/p,Collation,N,N,,,,,,,,,,,,,,,,,,,,
physDesc/scriptDesc/scriptNote,Script,N,Y,,,,,,,,,,,,,,,,,,,,
decoDesc/decoNote,Decoration,N,N,,,,,,,,,,,,,,,,,,,,
musicNotation,Musical notation,N,N,,,,,,,,,,,,,,,,,,,,
physDesc/bindingDesc/binding/p,Binding,N,N,,,,,,,,,,,,,,,,,,,,
supportDesc/support/watermark,Watermarks,N,Y,,,,,,,,,,,,,,,,,,,,
supportDesc/collation/p/catchwords,Catchwords,N,N,,,,,,,,,,,,,,,,,,,,
supportDesc/collation/p/signatures,Signatures,N,N,,,,,,,,,,,,,,,,,,,,
objectDesc/supportDesc[@material='']/support/p,Support material,Y,N,,,,,,,,,,,,,,,,,,,,
msDescription/supportDesc/extent,Page dimensions,N,Y,,,,,,,,,,,,,,,,,,,,
msDescription/supportDesc/extent,Written area,N,Y,,,,,,,,,,,,,,,,,,,,
[unassigned],Line height,N,N,,,,,,,,,,,,,,,,,,,,
msDescription/supportDesc/extent,Bound dimensions,N,N,,,,,,,,,,,,,,,,,,,,
notesStmt/note,Note(s),N,Y,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,BIBLIOGRAPHY,,,,,,,,,,,,,,,,,,,,,,
notesStmt/note[@type=relatedResource],Related resource,N,Y,,,,,,,,,,,,,,,,,,,,
notesStmt/note[@type=relatedResource]/@target,Related resource URL,N,Y,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,SUBJECTS AND KEYWORDS,,,,,,,,,,,,,,,,,,,,,,
profileDesc/textClass/keywords[@n='subjects']/term,Subject: names,N,Y,,,,,,,,,,,,,,,,,,,,
profileDesc/textClass/keywords[@n='subjects']/term/@target,Subject: names URI,N,Y,,,,,,,,,,,,,,,,,,,,
profileDesc/textClass/keywords[@n='subjects']/term,Subject: topical,N,Y,,,,,,,,,,,,,,,,,,,,
profileDesc/textClass/keywords[@n='subjects']/term/@target,Subject: topical URI,N,Y,,,,,,,,,,,,,,,,,,,,
profileDesc/textClass/keywords[@n='subjects']/term,Subject: geographic,N,Y,,,,,,,,,,,,,,,,,,,,
profileDesc/textClass/keywords[@n='subjects']/term/@target,Subject: geographic URI,N,Y,,,,,,,,,,,,,,,,,,,,
profileDesc/textClass/keywords[@n='form/genre']/term,Subject: genre/form,N,Y,,,,,,,,,,,,,,,,,,,,
profileDesc/textClass/keywords[@n='form/genre']/term/@target,Subject: genre/form URI,N,Y,,,,,,,,,,,,,,,,,,,,
[not mapped],Keywords,Y,Y,,,,,,,,,,,,,,,,,,,,
